target	model_id	TP	FP	P	N	precision	recall	FPR	F1	F2	F05	BA	EF	uniq_features	max_dist	features
CHEMBL5719_example	t1_f7_p4	32	4	94	130	0.889	0.34	0.031	0.492	0.388	0.672	0.655	2.118	4	6.565	aaAHHH
CHEMBL5719_example	t3_f8_p0	28	1	94	132	0.966	0.298	0.008	0.455	0.346	0.667	0.645	2.321	5	9.359	aaDAHHH
CHEMBL5719_example	t3_f8_p2	28	1	94	132	0.966	0.298	0.008	0.455	0.346	0.667	0.645	2.321	5	9.296	aaDAHHH
CHEMBL5719_example	t1_f7_p6	25	1	94	130	0.962	0.266	0.008	0.417	0.311	0.631	0.629	2.291	4	8.042	aaDAHH
CHEMBL5719_example	t3_f8_p1	24	1	94	132	0.96	0.255	0.008	0.403	0.299	0.619	0.624	2.308	5	9.276	aaDAHHH
CHEMBL5719_example	t1_f7_p11	23	3	94	130	0.885	0.245	0.023	0.383	0.286	0.581	0.611	2.108	4	9.223	aaDAHH
CHEMBL5719_example	centroids_f6_p0	23	18	94	133	0.561	0.245	0.135	0.341	0.276	0.446	0.555	1.355	3	6.879	aaHHH
CHEMBL5719_example	t1_f7_p5	20	2	94	130	0.909	0.213	0.015	0.345	0.251	0.549	0.599	2.166	4	9.185	aaDAHH
CHEMBL5719_example	t0_f8_p4	10	0	94	129	1.0	0.106	0.0	0.192	0.13	0.373	0.553	2.372	5	8.7	aaAAHHH
CHEMBL5719_example	t0_f8_p3	10	3	94	129	0.769	0.106	0.023	0.187	0.129	0.342	0.542	1.825	4	7.697	aaaHHHH
CHEMBL5719_example	t0_f8_p5	9	0	94	129	1.0	0.096	0.0	0.175	0.117	0.346	0.548	2.372	5	8.7	aaAAHHH
CHEMBL5719_example	t4_f8_p1	9	0	94	129	1.0	0.096	0.0	0.175	0.117	0.346	0.548	2.372	5	10.757	aaAAHHH
CHEMBL5719_example	t4_f8_p11	9	0	94	129	1.0	0.096	0.0	0.175	0.117	0.346	0.548	2.372	5	9.204	aaAHHHH
CHEMBL5719_example	t4_f8_p12	9	0	94	129	1.0	0.096	0.0	0.175	0.117	0.346	0.548	2.372	6	10.757	aDDAAHH
CHEMBL5719_example	t4_f8_p13	9	0	94	129	1.0	0.096	0.0	0.175	0.117	0.346	0.548	2.372	5	9.204	aaDAHHH
CHEMBL5719_example	t4_f8_p15	9	0	94	129	1.0	0.096	0.0	0.175	0.117	0.346	0.548	2.372	5	9.547	aaDAHHH
CHEMBL5719_example	t4_f8_p17	9	0	94	129	1.0	0.096	0.0	0.175	0.117	0.346	0.548	2.372	5	10.228	aaAHHHH
CHEMBL5719_example	t4_f8_p18	9	0	94	129	1.0	0.096	0.0	0.175	0.117	0.346	0.548	2.372	5	9.923	aaDAHHH
CHEMBL5719_example	t4_f8_p19	9	0	94	129	1.0	0.096	0.0	0.175	0.117	0.346	0.548	2.372	5	10.469	aaAHHHH
CHEMBL5719_example	t4_f8_p2	9	0	94	129	1.0	0.096	0.0	0.175	0.117	0.346	0.548	2.372	5	10.778	aaAAHHH
CHEMBL5719_example	t4_f8_p20	9	0	94	129	1.0	0.096	0.0	0.175	0.117	0.346	0.548	2.372	5	10.327	aaAHHHH
CHEMBL5719_example	t4_f8_p4	9	0	94	129	1.0	0.096	0.0	0.175	0.117	0.346	0.548	2.372	6	10.192	aDDAAHH
CHEMBL5719_example	t4_f8_p5	9	0	94	129	1.0	0.096	0.0	0.175	0.117	0.346	0.548	2.372	5	10.757	aaAAHHH
CHEMBL5719_example	t4_f8_p6	9	0	94	129	1.0	0.096	0.0	0.175	0.117	0.346	0.548	2.372	5	10.726	aaAAHHH
CHEMBL5719_example	t4_f8_p7	9	0	94	129	1.0	0.096	0.0	0.175	0.117	0.346	0.548	2.372	5	10.726	aaAAHHH
CHEMBL5719_example	t4_f8_p8	9	0	94	129	1.0	0.096	0.0	0.175	0.117	0.346	0.548	2.372	5	9.937	aaDAHHH
CHEMBL5719_example	t4_f8_p9	9	0	94	129	1.0	0.096	0.0	0.175	0.117	0.346	0.548	2.372	5	9.591	aaDAHHH
CHEMBL5719_example	t4_f8_p0	9	2	94	129	0.818	0.096	0.016	0.171	0.116	0.326	0.54	1.941	5	9.937	aaDAHHH
CHEMBL5719_example	t4_f8_p3	9	2	94	129	0.818	0.096	0.016	0.171	0.116	0.326	0.54	1.941	5	9.923	aaDAHHH
CHEMBL5719_example	t4_f8_p16	9	3	94	129	0.75	0.096	0.023	0.17	0.116	0.317	0.536	1.779	5	8.744	aaDAHHH
CHEMBL5719_example	t4_f8_p10	8	0	94	129	1.0	0.085	0.0	0.157	0.104	0.317	0.543	2.372	5	9.785	aaDAHHH
CHEMBL5719_example	t4_f8_p14	8	0	94	129	1.0	0.085	0.0	0.157	0.104	0.317	0.543	2.372	6	10.639	aDDAAHH
CHEMBL5719_example	t0_f8_p0	6	1	94	129	0.857	0.064	0.008	0.119	0.078	0.246	0.528	2.033	4	6.899	aaaDHHH
CHEMBL5719_example	t0_f8_p1	5	0	94	129	1.0	0.053	0.0	0.101	0.066	0.219	0.527	2.372	5	8.7	aaAAHHH
CHEMBL5719_example	t0_f8_p2	5	5	94	129	0.5	0.053	0.039	0.096	0.065	0.187	0.507	1.186	5	7.329	aaDAHHH
CHEMBL5719_example	t0_f8_p6	5	5	94	129	0.5	0.053	0.039	0.096	0.065	0.187	0.507	1.186	5	7.329	aaDAHHH
